"Species","Pigment","label"
"C_sandwichiana","Ant.Car","paste(italic(""P""),"" = 0.025"")"
"C_californica","Ant.Car","paste(italic(""P""),"" = 0.002"")"
"C_compacta","Ant.Car","paste(italic(""P""),"" = 0.04"")"
"C_cephalanthii","Ant.Car","paste(italic(""P""),"" = 0.000745"")"
"C_denticulata","Ant.Car","paste(italic(""P""),"" = 0.016"")"
"C_tasmanica","Ant.Car","paste(italic(""P""),"" = 0.000881"")"
"C_costaricensis","Ant.Car","paste(italic(""P""),"" = 0.002"")"
"C_indecora","Ant.Car","paste(italic(""P""),"" = 0.079"")"
"C_australis","DEPS","paste(italic(""P""),"" = 0.129"")"
"C_polygonorum","DEPS","paste(italic(""P""),"" = 0.179"")"
"C_sandwichiana","DEPS","paste(italic(""P""),"" = 0.055"")"
"C_californica","DEPS","paste(italic(""P""),"" = 0.077"")"
"C_compacta","DEPS","paste(italic(""P""),"" = 0.043"")"
"C_cephalanthii","DEPS","paste(italic(""P""),"" = 0.002"")"
"C_denticulata","DEPS","paste(italic(""P""),"" = 0.128"")"
"C_tasmanica","DEPS","paste(italic(""P""),"" = 0.029"")"
"C_costaricensis","DEPS","paste(italic(""P""),"" = 0.003"")"
"C_indecora","DEPS","paste(italic(""P""),"" = 0.125"")"
