Subgenus,Tissue.code,Pigment,Mean,n,sd
Grammica,h,a.Tocopherol,15.300155991873245,41,45.64060116472291
Grammica,h,Violaxanthin,5.133786385802178,41,2.447625386778943
Grammica,h,Neoxanthin,0.06001428995300878,41,0.18795384094749135
Grammica,h,Lutein.epoxide,0.31871935364676146,41,0.40777839125463977
Grammica,h,Antheraxanthin,3.1401563039322595,41,1.8674481588087826
Grammica,h,Lutein,7.20509497698149,41,4.606169047359973
Grammica,h,Zeaxanthin,2.0682252289557104,41,2.005278475694393
Grammica,h,a.Carotene,1.1116226299244996,41,1.1159498447270946
Grammica,h,b.Carotene,19.189645359836366,41,13.537113197191305
Grammica,h,cis.B.carotene,7.832782494458055,41,4.952034067389039
Grammica,h,Chl.b,9.344051747566558,41,5.976101893650527
Grammica,h,Chl.a,25.82435334869408,41,18.47023930059404
Grammica,h,Car.Chl31,1851.7757900418494,41,3634.334124821815
Grammica,h,Tot.Chl,35.168405096260635,41,23.45599261183487
Grammica,h,Chl.a.b,2.9152139506744947,41,1.0864983894605729
Grammica,h,Tot.Car,37.90854517538551,41,18.725986741814413
Grammica,h,VAZ,10.342167918690148,41,5.059645963449232
Grammica,h,VAZ.Chl,0.5933889298641135,41,1.2433298624160707
Grammica,h,VAZ.Car,0.28971327873267766,41,0.11214662070533434
Grammica,h,NVZ,7.262025904710898,41,3.3684385766332388
Grammica,h,NVZ.Car,0.20538299236544463,41,0.07795766884182126
Grammica,h,Lut.Chl,0.4718299352341912,41,1.2031887842898283
Grammica,h,Lut.Car,0.19201163956385414,41,0.0955775145832477
Grammica,h,Lut.epo.Car,0.008364321697764576,41,0.01028711116505175
Grammica,h,a.Car.Car,0.028305396028802797,41,0.02800091724616451
Grammica,h,b.Car.Car,0.48865059213752826,41,0.17049794167396715
Grammica,h,Zea.Car,0.05439773585994608,41,0.04119143751780114
Grammica,h,Vio.Car,0.14966616296836138,41,0.06874102326745482
Grammica,h,Neo.Car,0.0013190935371371493,41,0.004592247905282907
Grammica,h,Ant.Car,0.08564937990437019,41,0.04032301288543884
Grammica,h,DEPS,33.55688572437107,41,10.121755729676407
Grammica,f,a.Tocopherol,6.328537427237442,25,7.321181354860273
Grammica,f,Violaxanthin,4.487281215166029,25,3.10890308101136
Grammica,f,Neoxanthin,0.16747700737490717,25,0.41147909167375385
Grammica,f,Lutein.epoxide,0.3519193094058684,25,0.5139904035273215
Grammica,f,Antheraxanthin,2.5629750709083705,25,1.3799289027986965
Grammica,f,Lutein,6.892025321248927,25,4.6018666671606
Grammica,f,Zeaxanthin,1.8278370627507903,25,0.8016320773312058
Grammica,f,a.Carotene,0.487968173996782,25,0.7104433561162047
Grammica,f,b.Carotene,10.137802537077082,25,5.789236126692816
Grammica,f,cis.B.carotene,4.004259478803607,25,2.6610830373627117
Grammica,f,Chl.b,10.851233949201996,25,6.2477795094837285
Grammica,f,Chl.a,29.105953883138415,25,21.43016896007386
Grammica,f,Car.Chl31,562.2904735838272,25,431.98027700422455
Grammica,f,Tot.Chl,39.95718783234041,25,25.09859471479542
Grammica,f,Chl.a.b,2.9968687028152954,25,1.4580505874436998
Grammica,f,Tot.Car,26.563366388522887,25,10.891037711546112
Grammica,f,VAZ,8.878093348825189,25,4.398024346615706
Grammica,f,VAZ.Chl,0.3041308122995783,25,0.2622050034725799
Grammica,f,VAZ.Car,0.3477052614094926,25,0.12756434977126305
Grammica,f,NVZ,6.482595285291726,25,3.3108437119888037
Grammica,f,NVZ.Car,0.2520314333146517,25,0.0885873837271239
Grammica,f,Lut.Chl,0.23341932098236204,25,0.214124433288589
Grammica,f,Lut.Car,0.2523368265627034,25,0.10116086765943001
Grammica,f,Lut.epo.Car,0.010402474419973981,25,0.013010737715565419
Grammica,f,a.Car.Car,0.02674313114074951,25,0.06068715670149304
Grammica,f,b.Car.Car,0.36894231812658973,25,0.19641414511786529
Grammica,f,Zea.Car,0.08416866317752325,25,0.05871066644637903
Grammica,f,Vio.Car,0.16359030737666364,25,0.0765854548939607
Grammica,f,Neo.Car,0.004272462760464804,25,0.010793440234363131
Grammica,f,Ant.Car,0.09994629085530571,25,0.04219559964790538
Grammica,f,DEPS,39.39138162730508,25,13.535113798973429
Grammica,s,a.Tocopherol,1.5008122502038301,8,2.0094142860974458
Grammica,s,Violaxanthin,9.407590088318875,8,2.7906095727631017
Grammica,s,Neoxanthin,1.0835711244434925,8,0.6864343158161967
Grammica,s,Lutein.epoxide,0.8003616579607887,8,0.36904292547730766
Grammica,s,Antheraxanthin,5.176026968121935,8,2.1212453450673654
Grammica,s,Lutein,25.05610227539359,8,5.903352106720858
Grammica,s,Zeaxanthin,3.147693705044925,8,1.2384119285692614
Grammica,s,a.Carotene,0.5630960025470326,8,1.007114575801894
Grammica,s,b.Carotene,12.557289446204862,8,3.3138045671701644
Grammica,s,cis.B.carotene,3.905278926804776,8,0.6328426876571105
Grammica,s,Chl.b,26.185668407022803,8,9.815257164638368
Grammica,s,Chl.a,61.535305346635205,8,39.70582790386122
Grammica,s,Car.Chl31,619.0263908057232,8,754.5997650175262
Grammica,s,Tot.Chl,87.720973753658,8,39.54763265473453
Grammica,s,Chl.a.b,2.617546590493905,8,1.5314940223608886
Grammica,s,Tot.Car,56.99136961007471,8,9.57032752068501
Grammica,s,VAZ,17.731310761485734,8,4.83553743153619
Grammica,s,VAZ.Chl,0.27210234859256993,8,0.21118852454388157
Grammica,s,VAZ.Car,0.3092899727367789,8,0.04647011031717209
Grammica,s,NVZ,13.638854917807294,8,3.0067846622186005
Grammica,s,NVZ.Car,0.2380794823407026,8,0.020878901723246506
Grammica,s,Lut.Chl,0.34005995952144075,8,0.16353117880820656
Grammica,s,Lut.Car,0.44057468197251204,8,0.08106197458325178
Grammica,s,Lut.epo.Car,0.013775850431835397,8,0.006415591469487613
Grammica,s,a.Car.Car,0.010536391197718901,8,0.019100667564501198
Grammica,s,b.Car.Car,0.21983916647417534,8,0.04382457092540547
Grammica,s,Zea.Car,0.0546280770186651,8,0.017239412563159924
Grammica,s,Vio.Car,0.16369161770322257,8,0.03692457561616591
Grammica,s,Neo.Car,0.019759787618814913,8,0.012779039314854555
Grammica,s,Ant.Car,0.09097027801489119,8,0.0308822715191135
Grammica,s,DEPS,32.51098697563125,8,7.194867875502641
Ipomoea_nil,l,a.Tocopherol,14.040580411393801,11,11.539790734956565
Ipomoea_nil,l,Violaxanthin,55.0258011702607,11,15.806092941623268
Ipomoea_nil,l,Neoxanthin,40.2466392817117,11,12.972304051134266
Ipomoea_nil,l,Lutein.epoxide,2.436298297942202,11,4.192461205266605
