Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
Grammica,C_compacta,1566,y,Fo,0.0381375,8,0.01035014665182507
Grammica,C_compacta,1566,y,Fm,0.0848,8,0.027089586823827977
Grammica,C_compacta,1566,y,Ft,0.0473,8,0.011990234121388717
Grammica,C_compacta,1566,y,Fo.,0.03296179125,8,0.008951768713153807
Grammica,C_compacta,1566,y,Fv.Fm,0.53980482125,8,0.04572603602947287
Grammica,C_compacta,1566,y,φPSII,0.23110582575,8,0.09601676872313523
Grammica,C_compacta,1566,y,ΦNPQ,0.193395780875,8,0.13844866909779005
Grammica,C_compacta,1566,y,Φf.D,0.576683227375,8,0.08528692008570701
Grammica,C_compacta,1566,y,NPQ,0.361466081125,8,0.27532890827337925
Grammica,C_compacta,1566,y,X1.qP,0.51484853475,8,0.20875330547738782
Grammica,C_compacta,1566,o,Fo,0.02807142857142857,7,0.014492378949608226
Grammica,C_compacta,1566,o,Fm,0.05204285714285714,7,0.03869025963309358
Grammica,C_compacta,1566,o,Ft,0.032285714285714286,7,0.019407767222723707
Grammica,C_compacta,1566,o,Fo.,0.024412352285714287,7,0.012806567854997317
Grammica,C_compacta,1566,o,Fv.Fm,0.43193847916666667,6,0.0937533398853546
Grammica,C_compacta,1566,o,φPSII,0.1702626062857143,7,0.09726938110978285
Grammica,C_compacta,1566,o,ΦNPQ,0.13799143657142857,7,0.09339674076310615
Grammica,C_compacta,1566,o,Φf.D,0.6403702833333333,6,0.0726976160458642
Grammica,C_compacta,1566,o,NPQ,0.22477531671428572,7,0.16467793804630837
Grammica,C_compacta,1566,o,X1.qP,0.48544841666666666,6,0.06639855839312679
Grammica,C_compacta,1566,h,Fo,0.08452,5,0.058013636328022054
Grammica,C_compacta,1566,h,Fm,0.20598,5,0.17772255624990319
Grammica,C_compacta,1566,h,Ft,0.08372,5,0.05826741799668147
Grammica,C_compacta,1566,h,Fo.,0.058665624799999996,5,0.03778184448332828
Grammica,C_compacta,1566,h,Fv.Fm,0.6247467325,4,0.05093930254850997
Grammica,C_compacta,1566,h,φPSII,0.090313805,6,0.07405004038943379
Grammica,C_compacta,1566,h,ΦNPQ,0.3213881688333333,6,0.2499406408659934
Grammica,C_compacta,1566,h,Φf.D,0.38244703950000003,4,0.044832005047823656
Grammica,C_compacta,1566,h,NPQ,0.8514698015,6,0.6765356389974684
Grammica,C_compacta,1566,h,X1.qP,0.6691064443333333,3,0.06827651616790846
Grammica,C_compacta,1566,f,Fo,0.01997777777777778,9,0.005971971570967536
Grammica,C_compacta,1566,f,Fm,0.03383333333333333,9,0.015688769868922165
Grammica,C_compacta,1566,f,Ft,0.024055555555555556,9,0.008860743635710142
Grammica,C_compacta,1566,f,Fo.,0.01624564211111111,9,0.005136951723160353
Grammica,C_compacta,1566,f,Fv.Fm,0.466706255,5,0.059762688892259545
Grammica,C_compacta,1566,f,φPSII,0.02073924822222222,9,0.027952972567153796
Grammica,C_compacta,1566,f,ΦNPQ,0.14348169033333333,9,0.14794728674298924
Grammica,C_compacta,1566,f,Φf.D,0.7044023106,5,0.09590298270079166
